created_at,lat_1_GPS,long_1_GPS,2_Panel_trap_number,3_Males_Trapped,4_Females_trapped,5_Note,trap_visit_date
2019-07-17 10:20:09.215000+10:00,13.408254000000001,144.740236,011,0,0,,2019-07-17
2019-07-17 10:21:45.285000+10:00,13.407853,144.740262,012,0,0,,2019-07-17
2019-07-17 10:24:51.288000+10:00,13.407720000000001,144.740396,013,0,1,,2019-07-17
2019-07-17 10:28:15.732000+10:00,13.407385000000001,144.739851,014,0,0,,2019-07-17
2019-07-17 10:30:00.938000+10:00,13.406664000000001,144.740685,015,1,2,,2019-07-17
2019-07-17 10:32:09.535000+10:00,13.40657,144.740725,016,0,0,,2019-07-17
2019-07-17 10:34:38.266000+10:00,13.405226999999998,144.740648,017,1,2,,2019-07-17
2019-07-17 10:36:02.301000+10:00,13.404998999999998,144.740823,018,0,2,,2019-07-17
2019-07-17 10:45:29.901000+10:00,13.414532000000001,144.732991,019,1,0,,2019-07-17
2019-07-17 10:46:28.191000+10:00,13.414114000000001,144.733256,020,1,2,,2019-07-17
2019-07-17 10:48:33.216000+10:00,13.413599,144.73344,021,5,0,,2019-07-17
2019-07-17 10:49:26.239000+10:00,13.413039999999999,144.733597,022,1,0,,2019-07-17
2019-07-17 10:51:40.225000+10:00,13.412662,144.733913,023,0,1,,2019-07-17
2019-07-17 10:52:49.173000+10:00,13.412285999999998,144.73443899999998,024,2,0,,2019-07-17
2019-07-17 10:55:15.258000+10:00,13.411632999999998,144.734562,025,2,2,,2019-07-17
2019-07-17 10:57:13.681000+10:00,13.411247,144.73506799999998,026,0,0,,2019-07-17
2019-07-17 10:59:31.803000+10:00,13.410928,144.735551,027,0,1,,2019-07-17
2019-07-17 11:00:10.914000+10:00,13.410657,144.73607900000002,028,0,1,,2019-07-17
2019-07-17 11:03:56.142000+10:00,13.410537,144.736671,029,0,1,,2019-07-17
2019-07-17 11:06:00.577000+10:00,13.411052,144.737128,030,2,1,,2019-07-17
2019-07-17 11:17:50.274000+10:00,13.415504,144.742477,031,1,2,,2019-07-17
2019-07-17 11:20:55.794000+10:00,13.416186999999999,144.742108,032,1,1,,2019-07-17
2019-07-17 11:23:51.568000+10:00,13.416764,144.742723,033,2,1,,2019-07-17
2019-07-17 11:25:54.850000+10:00,13.417076000000002,144.742909,034,3,2,,2019-07-17
2019-07-17 11:27:21.618000+10:00,13.417596,144.74320600000001,035,0,1,,2019-07-17
2019-07-17 11:29:01.842000+10:00,13.417613000000001,144.743239,036,0,0,,2019-07-17
2019-07-17 11:31:02.967000+10:00,13.417878,144.744306,037,0,4,,2019-07-17
2019-07-17 11:32:40.622000+10:00,13.4178,144.74432099999999,038,1,2,,2019-07-17
2019-07-17 11:34:13.602000+10:00,13.417245999999999,144.74542399999999,039,2,0,,2019-07-17
2019-07-17 11:36:07.611000+10:00,13.417007,144.745795,040,1,1,,2019-07-17
2019-07-24 08:35:02.559000+10:00,13.413870000000001,144.738904,001,3,0,,2019-07-24
2019-07-24 08:38:17.168000+10:00,13.413488000000001,144.739379,002,2,1,,2019-07-24
2019-07-24 08:40:55.646000+10:00,13.413468,144.739389,003,1,3,,2019-07-24
2019-07-24 08:41:59.943000+10:00,13.412896,144.73951100000002,004,1,0,,2019-07-24
2019-07-24 08:43:20.335000+10:00,13.412293,144.740265,005,0,0,,2019-07-24
2019-07-24 08:45:38.291000+10:00,13.411895999999999,144.74064099999998,006,0,1,,2019-07-24
2019-07-24 08:46:37.614000+10:00,13.411473999999998,144.74101000000002,007,0,1,,2019-07-24
2019-07-24 08:47:56.317000+10:00,13.411473999999998,144.741026,008,1,3,,2019-07-24
2019-07-24 08:56:41.069000+10:00,13.409069,144.739838,009,1,0,,2019-07-24
2019-07-24 09:01:36.683000+10:00,13.40869,144.740152,010,0,1,,2019-07-24
2019-07-24 09:04:14.627000+10:00,13.408244,144.740326,011,1,0,,2019-07-24
2019-07-24 09:06:07.530000+10:00,13.407726,144.740395,012,0,0,,2019-07-24
2019-07-24 09:07:28.551000+10:00,13.407373000000002,144.739972,013,0,1,,2019-07-24
2019-07-24 09:09:42.047000+10:00,13.407169,144.74048100000002,014,0,1,,2019-07-24
2019-07-24 09:11:55.680000+10:00,13.406535,144.74076499999998,015,2,0,,2019-07-24
2019-07-24 09:15:01.720000+10:00,13.406529,144.740692,016,1,0,,2019-07-24
2019-07-24 09:17:00.456000+10:00,13.405220000000002,144.74069,017,0,3,,2019-07-24
2019-07-24 09:20:20.740000+10:00,13.405210999999998,144.74063999999998,018,1,1,,2019-07-24
2019-07-24 09:33:46.646000+10:00,13.414548000000002,144.733005,019,0,1,,2019-07-24
2019-07-24 09:34:58.865000+10:00,13.414007000000002,144.733303,020,3,1,,2019-07-24
2019-07-24 09:36:22.846000+10:00,13.413554999999999,144.733506,021,4,1,,2019-07-24
2019-07-24 09:37:54.136000+10:00,13.413016,144.73363,022,0,2,,2019-07-24
2019-07-24 09:39:01.293000+10:00,13.412638000000001,144.733963,023,0,0,,2019-07-24
2019-07-24 09:52:53.900000+10:00,13.4122,144.734427,024,0,0,,2019-07-24
2019-07-24 09:54:38.276000+10:00,13.411613000000001,144.734569,025,4,0,,2019-07-24
2019-07-24 09:55:53.129000+10:00,13.411365,144.735185,026,1,0,,2019-07-24
2019-07-24 09:57:21.292000+10:00,13.410888,144.735627,027,0,1,,2019-07-24
2019-07-24 09:58:44.699000+10:00,13.410664,144.736081,028,0,1,,2019-07-24
2019-07-24 10:00:15.466000+10:00,13.410598,144.736702,029,1,0,,2019-07-24
2019-07-24 10:01:48.715000+10:00,13.411055,144.737052,030,2,0,,2019-07-24
2019-07-24 10:10:02.393000+10:00,13.415425,144.74238400000002,031,0,2,,2019-07-24
2019-07-24 10:11:23.906000+10:00,13.416188,144.742061,032,2,0,,2019-07-24
2019-07-24 10:12:47.012000+10:00,13.416764,144.74250700000002,033,2,1,,2019-07-24
2019-07-24 10:14:14.430000+10:00,13.41712,144.742933,034,0,4,,2019-07-24
2019-07-24 10:15:48.138000+10:00,13.417604999999998,144.743232,035,0,0,,2019-07-24
2019-07-24 10:17:21.906000+10:00,13.417933999999999,144.74373,036,1,0,,2019-07-24
2019-07-24 10:19:27.346000+10:00,13.417786999999999,144.744278,037,2,1,,2019-07-24
2019-07-24 10:21:41.953000+10:00,13.417657,144.744891,038,1,3,,2019-07-24
2019-07-24 10:23:59.180000+10:00,13.417273999999999,144.74535500000002,039,0,0,,2019-07-24
2019-07-24 10:24:44.882000+10:00,13.416953,144.745821,040,0,1,,2019-07-24
2019-07-31 08:48:24.909000+10:00,13.413873,144.738909,001,2,1,,2019-07-31
2019-07-31 08:50:45.265000+10:00,13.413464999999999,144.73933200000002,002,4,1,,2019-07-31
2019-07-31 08:52:25.642000+10:00,13.413438000000001,144.739312,003,1,3,,2019-07-31
2019-07-31 08:53:33.871000+10:00,13.412548000000001,144.739748,004,1,1,,2019-07-31
2019-07-31 08:54:35.199000+10:00,13.412557999999999,144.73976399999998,005,0,2,,2019-07-31
2019-07-31 08:56:02.541000+10:00,13.412309,144.740271,006,0,1,,2019-07-31
2019-07-31 08:56:54.350000+10:00,13.411463000000001,144.74098,007,1,0,,2019-07-31
2019-07-31 08:57:45.631000+10:00,13.411245999999998,144.7416,008,0,0,,2019-07-31
2019-07-31 09:04:22.828000+10:00,13.409106,144.739789,009,1,3,,2019-07-31
2019-07-31 09:06:46.923000+10:00,13.408691000000001,144.740103,010,1,0,,2019-07-31
2019-07-31 09:07:45.327000+10:00,13.408235000000001,144.740257,011,0,0,,2019-07-31
