created_at,lat,lon,trap_id,males,females,note,trap_visit_date
2019-07-17 10:28:15.732000+10:00,13.407385,144.739851,14,0,0,,2019-07-17
2019-07-17 10:30:00.938000+10:00,13.406664,144.740685,15,1,2,,2019-07-17
2019-07-17 10:32:09.535000+10:00,13.40657,144.740725,16,0,0,,2019-07-17
2019-07-17 10:34:38.266000+10:00,13.405227,144.740648,17,1,2,,2019-07-17
2019-07-17 10:36:02.301000+10:00,13.404999,144.740823,18,0,2,,2019-07-17
2019-07-17 10:45:29.901000+10:00,13.414532,144.732991,19,1,0,,2019-07-17
2019-07-17 10:46:28.191000+10:00,13.414114,144.733256,20,1,2,,2019-07-17
2019-07-17 10:48:33.216000+10:00,13.413599,144.73344,21,5,0,,2019-07-17
2019-07-17 10:49:26.239000+10:00,13.41304,144.733597,22,1,0,,2019-07-17
2019-07-17 10:51:40.225000+10:00,13.412662,144.733913,23,0,1,,2019-07-17
2019-07-17 10:52:49.173000+10:00,13.412286,144.734439,24,2,0,,2019-07-17
2019-07-17 10:55:15.258000+10:00,13.411633,144.734562,25,2,2,,2019-07-17
2019-07-17 10:57:13.681000+10:00,13.411247,144.735068,26,0,0,,2019-07-17
2019-07-17 10:59:31.803000+10:00,13.410928,144.735551,27,0,1,,2019-07-17
2019-07-17 11:00:10.914000+10:00,13.410657,144.736079,28,0,1,,2019-07-17
2019-07-17 11:03:56.142000+10:00,13.410537,144.736671,29,0,1,,2019-07-17
2019-07-17 11:06:00.577000+10:00,13.411052,144.737128,30,2,1,,2019-07-17
2019-07-17 11:17:50.274000+10:00,13.415504,144.742477,31,1,2,,2019-07-17
2019-07-17 11:20:55.794000+10:00,13.416187,144.742108,32,1,1,,2019-07-17
2019-07-17 11:23:51.568000+10:00,13.416764,144.742723,33,2,1,,2019-07-17
2019-07-17 11:25:54.850000+10:00,13.417076,144.742909,34,3,2,,2019-07-17
2019-07-17 11:27:21.618000+10:00,13.417596,144.743206,35,0,1,,2019-07-17
2019-07-17 11:29:01.842000+10:00,13.417613,144.743239,36,0,0,,2019-07-17
2019-07-17 11:31:02.967000+10:00,13.417878,144.744306,37,0,4,,2019-07-17
2019-07-17 11:32:40.622000+10:00,13.4178,144.744321,38,1,2,,2019-07-17
2019-07-17 11:34:13.602000+10:00,13.417246,144.745424,39,2,0,,2019-07-17
2019-07-17 11:36:07.611000+10:00,13.417007,144.745795,40,1,1,,2019-07-17
2019-07-24 08:35:02.559000+10:00,13.41387,144.738904,1,3,0,,2019-07-24
2019-07-24 08:38:17.168000+10:00,13.413488,144.739379,2,2,1,,2019-07-24
2019-07-24 08:40:55.646000+10:00,13.413468,144.739389,3,1,3,,2019-07-24
2019-07-24 08:41:59.943000+10:00,13.412896,144.739511,4,1,0,,2019-07-24
2019-07-24 08:43:20.335000+10:00,13.412293,144.740265,5,0,0,,2019-07-24
2019-07-24 08:45:38.291000+10:00,13.411896,144.740641,6,0,1,,2019-07-24
2019-07-24 08:46:37.614000+10:00,13.411474,144.74101,7,0,1,,2019-07-24
2019-07-24 08:47:56.317000+10:00,13.411474,144.741026,8,1,3,,2019-07-24
2019-07-24 08:56:41.069000+10:00,13.409069,144.739838,9,1,0,,2019-07-24
2019-07-24 09:01:36.683000+10:00,13.40869,144.740152,10,0,1,,2019-07-24
2019-07-24 09:04:14.627000+10:00,13.408244,144.740326,11,1,0,,2019-07-24
